1763	687	1274	440	787	351	
7391	2751	5049	979	1841	871	
187626	64323	125249	7535	12653	6118	
478309	161303	320399	13309	21874	10518	
747977	251313	500499	17184	28240	13680	
3001799	1008142	2000999	37851	62447	30389	
18716272	6231729	12502499	109078	176450	85323	
74805367	24840796	50004999	240410	382793	185580	
